Designator,Mid X,Mid Y,Rotation,Layer
C1,151.725,-104.35,180.0,top
C2,151.725,-128.5,180.0,top
C3,109.286,-120.65,0.0,top
D1,100.3045,-129.286,0.0,top
D2,123.9295,-104.4165,270.0,top
D3,135.295,-103.886,270.0,top
D4,100.33,-132.969,0.0,top
D5,135.382,-110.998,180.0,top
D6,100.3555,-136.652,0.0,top
F1,106.934,-107.95,0.0,top
J1,126.365,-94.615,90.0,top
J2,97.333,-105.161,270.0,top
J3,97.333,-117.988,270.0,top
L1,135.382,-120.52,270.0,top
Q1,109.1415,-125.156,0.0,top
Q2,109.22,-130.302,0.0,top
Q3,109.22,-135.382,0.0,top
R1,104.011,-129.286,0.0,top
R2,114.1965,-125.73,0.0,top
R3,114.1965,-129.286,0.0,top
R4,114.1965,-132.969,180.0,top
R5,103.9095,-132.969,0.0,top
R6,114.1965,-136.652,180.0,top
R7,104.062,-136.652,0.0,top
U1,111.252,-116.459,90.0,top
U2,153.6,-116.425,0.0,top
